Local time,Open,High,Low,Close,Volume
17.03.2018 14:08:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:09:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:10:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:11:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:12:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:13:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:14:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:15:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:16:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:17:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:18:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:19:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:20:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:21:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:22:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:23:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:24:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:25:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:26:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:27:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:28:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:29:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:30:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:31:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:32:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:33:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:34:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:35:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:36:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:37:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:38:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:39:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:40:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:41:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:42:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:43:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:44:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:45:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:46:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:47:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:48:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:49:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:50:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:51:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:52:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:53:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:54:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:55:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:56:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:57:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:58:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 14:59:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:00:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:01:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:02:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:03:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:04:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:05:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:06:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:07:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:08:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:09:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:10:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:11:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:12:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:13:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:14:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:15:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:16:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:17:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:18:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:19:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:20:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:21:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:22:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:23:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:24:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:25:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:26:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:27:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:28:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:29:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:30:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:31:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:32:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:33:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:34:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:35:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:36:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:37:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:38:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:39:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:40:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:41:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:42:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:43:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:44:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:45:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:46:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:47:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:48:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:49:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:50:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:51:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:52:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:53:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:54:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:55:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:56:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:57:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:58:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 15:59:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:00:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:01:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:02:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:03:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:04:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:05:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:06:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:07:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:08:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:09:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:10:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:11:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:12:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:13:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:14:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:15:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:16:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:17:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:18:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:19:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:20:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:21:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:22:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:23:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:24:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:25:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:26:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:27:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:28:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:29:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:30:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:31:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:32:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:33:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:34:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:35:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:36:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:37:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:38:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:39:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:40:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:41:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:42:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:43:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:44:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:45:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:46:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:47:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:48:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:49:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:50:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:51:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:52:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:53:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:54:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:55:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:56:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:57:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:58:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 16:59:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:00:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:01:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:02:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:03:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:04:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:05:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:06:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:07:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:08:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:09:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:10:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:11:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:12:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:13:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:14:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:15:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:16:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:17:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:18:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:19:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:20:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:21:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:22:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:23:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:24:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:25:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:26:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:27:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:28:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:29:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:30:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:31:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:32:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:33:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:34:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:35:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:36:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:37:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:38:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:39:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:40:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:41:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:42:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:43:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:44:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:45:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:46:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:47:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:48:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:49:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:50:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:51:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:52:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:53:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:54:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:55:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:56:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:57:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:58:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 17:59:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:00:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:01:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:02:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:03:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:04:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:05:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:06:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:07:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:08:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:09:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:10:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:11:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:12:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:13:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:14:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:15:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:16:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:17:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:18:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:19:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:20:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:21:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:22:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:23:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:24:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:25:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:26:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:27:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:28:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:29:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:30:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:31:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:32:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:33:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:34:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:35:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:36:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:37:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:38:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:39:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:40:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:41:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:42:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:43:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:44:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:45:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:46:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:47:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:48:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:49:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:50:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:51:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:52:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:53:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:54:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:55:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:56:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:57:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:58:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 18:59:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:00:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:01:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:02:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:03:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:04:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:05:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:06:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:07:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:08:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:09:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:10:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:11:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:12:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:13:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:14:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:15:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:16:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:17:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:18:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:19:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
17.03.2018 19:20:00.000 GMT+0100,249.088,249.088,249.088,249.088,0
